coordinates,color_r,color_g,color_b,color_a
"[(250.2309927569588, 190.9652042076516), (244.12656693903932, 174.9171734828525), (262.487552129439, 168.15259999165255), (265.8294196861077, 185.82745039115105)]",0.0,0.0,0.0,0.0
"[(268.07842307922635, 185.65652775631406), (264.1137996742699, 167.43863932246825), (283.4289000998368, 166.22194638339806), (284.69202920622126, 183.23416535090826)]",0.0,0.0,0.0,0.0
"[(286.34161245144, 182.30384342176205), (285.23770868367865, 165.74241869552463), (296.7555511238693, 165.72065240406823), (296.9702994886693, 181.82677976406796)]",0.0,0.0,0.0,0.0
"[(186.50563965584024, 215.38016353213152), (167.86548159120042, 205.67353744317165), (183.92865927824027, 189.18086302653182), (198.3597493928001, 202.4952616441317)]",0.0,0.0,0.0,0.0
"[(200.0613665802224, 201.70408904042426), (185.13635522662258, 188.06756787562438), (201.10601000079197, 176.9064382269721), (211.12090736742226, 191.28879334762428)]",0.0,0.0,0.0,0.0
"[(212.45118313103978, 190.37905574845217), (202.33098836070246, 176.13883308189656), (219.51085754470228, 166.31194790864856), (227.8334010181925, 180.16505914440063)]",0.0,0.0,0.0,0.0
"[(229.71898817433419, 179.70318617552857), (221.33297821508552, 166.16408590352034), (237.90626958233406, 158.63100287952875), (244.34872052633398, 172.99229977552864)]",0.0,0.0,0.0,0.0
"[(246.09355099033394, 171.91855795152856), (239.7404779394692, 158.00859838086558), (257.1685079810319, 152.7327730442214), (261.5285897103338, 166.68406655952867)]",0.0,0.0,0.0,0.0
"[(262.87779045954846, 166.30005160902147), (260.1864124303338, 151.78589875152886), (279.3795475343336, 150.30950374352892), (280.3320255422002, 164.7442733793223)]",0.0,0.0,0.0,0.0
"[(282.46655527833354, 163.9997119995287), (281.6612489103336, 150.30950374352892), (299.5122067343334, 150.30950374352892), (299.5122067343334, 163.7312765435288)]",0.0,0.0,0.0,0.0
"[(283.49423252111876, 134.73340611517256), (289.9366834651187, 142.51803433917235), (292.35260256911863, 148.28939664317227), (266.4485810651189, 149.63157392317225), (264.70375060111894, 146.2761307231724)]",0.0,0.0,0.0,0.0
"[(22.080356972961965, 129.27194323901267), (12.631428921762051, 140.00936147901257), (8.765958355362102, 148.42749737917234), (41.751307188641704, 149.97368560573238), (43.64109279888169, 146.02231569341245)]",0.0,0.0,0.0,0.0
"[(167.38623877776013, 207.34853864381193), (160.17069372048024, 217.31286277053175), (157.70891590533745, 223.94642468264692), (180.12327648133697, 225.15438423464684), (185.51100076687987, 216.79746669501185)]",0.0,0.0,0.0,0.0
"[(287.95117171343816, 262.01166116182696), (276.47501909852633, 248.13032686115514), (300.0288591921246, 242.85220382530224), (299.47990868460454, 255.56128048962205), (294.44674388460464, 258.58117936962196)]",0.0,0.0,0.0,0.0
"[(75.60395991673221, 239.8103889015963), (60.34823608134053, 248.12544558665218), (55.72674167276375, 242.63443891706515), (67.90653743760191, 230.43157448022703)]",0.0,0.0,0.0,0.0
"[(67.02692813538113, 229.66191634078382), (54.547471160123735, 241.5366419207644), (44.53348885494029, 231.20385381172332), (52.8982037184598, 216.9075814585825)]",0.0,0.0,0.0,0.0
